date,open_prc,high_prc,low_prc,close_prc,base_prc,volume
2000-10-18,127000,138000,121000,136500,137000,3284311
2000-10-19,136500,152500,134500,145000,136500,2754409
2000-10-20,162000,166500,159500,166500,145000,2376542
2000-10-23,174500,176000,158000,160000,166500,2799260
2000-10-24,159000,171000,155000,167000,160000,1942318
2000-10-25,160000,163000,156500,160500,167000,1374694
2000-10-26,146500,151500,137000,144500,160500,2665890
2000-10-27,148000,151000,142000,142000,144500,1463360
2000-10-30,140000,144000,136000,137500,142000,736657
2000-10-31,137500,142500,131500,142500,137500,1263847
2000-11-01,150000,163500,148000,163000,142500,1883300
2000-11-02,160000,171500,158500,166000,163000,2463636
2000-11-03,171000,173500,168500,172000,166000,1608435
2000-11-06,173000,183500,169000,175500,172000,1437330
2000-11-07,173000,177500,169000,172000,175500,1074804
2000-11-08,170000,173000,164000,170500,172000,1164384
2000-11-09,165000,171500,163000,170000,170500,1046171
2000-11-10,168000,172000,166000,169000,170000,702840
2000-11-13,161000,163000,155000,157500,169000,1021457
2000-11-14,160500,166000,160500,164500,157500,635154
2000-11-15,172500,173000,166000,169500,164500,1114464
2000-11-16,170000,171000,162500,164000,169500,748446
2000-11-17,159000,161500,157500,161000,164000,724553
2000-11-20,158000,160500,155000,155000,161000,535981
2000-11-21,154000,158500,148500,158000,155000,1032456
2000-11-22,155000,161000,154000,157000,158000,754289
2000-11-23,157000,163000,157000,160500,157000,892960
2000-11-24,165500,170000,163500,170000,160500,910673
2000-11-27,180000,190000,178500,189000,170000,2004446
2000-11-28,182500,182500,175000,176000,189000,1195439
2000-11-29,165000,167500,160000,161000,176000,1086068
2000-11-30,161000,164500,157500,162000,161000,1266322
2000-12-01,154000,161000,152000,159000,162000,1928557
2000-12-04,161000,162500,154000,155000,159000,1037540
2000-12-05,158000,162500,156000,162000,155000,1168095
2000-12-06,170500,171500,160500,160500,162000,1917834
2000-12-07,160500,163000,158000,163000,160500,860422
